artist,popularity_score
Ellie Goulding,77
Ian Hunter,77
Sia,77
Talking Heads,77
Owl City,77
Proclaimers,76
Zebrahead,76
Crowded House,76
Culture Club,76
The Killers,75
Bread,75
Peter Cetera,75
Supertramp,74
Doris Day,74
Old 97's,74
Lea Salonga,74
Ace Of Base,74
Isley Brothers,73
Cake,73
Harry Belafonte,73
Soundgarden,72
Natalie Imbruglia,72
Waterboys,72
Yellowcard,72
Pitbull,72
Within Temptation,71
Snoop Dogg,71
Faith No More,71
Human League,71
Judds,71
Eminem,70
Bruno Mars,70
Adam Sandler,70
Kim Wilde,70
Extreme,70
Irving Berlin,70
Tom Waits,70
Ingrid Michaelson,69
Vanessa Williams,68
J Cole,68
Queens Of The Stone Age,68
Smiths,67
Used,67
Nick Drake,67
Phineas And Ferb,67
Don McLean,67
System Of A Down,67
Tears For Fears,66
Jim Croce,66
Natalie Grant,65
The White Stripes,64
Christy Moore,64
Rainbow,64
Roxy Music,64
Ziggy Marley,64
Sublime,63
John McDermott,63
Keith Green,63
David Guetta,63
Stone Temple Pilots,62
Ultravox,61
Vonda Shepard,61
Dire Straits,61
Puff Daddy,61
John Martyn,61
Incognito,60
Death,60
Justin Timberlake,60
Opeth,59
Flo-Rida,59
Fastball,59
Tim Buckley,58
Vertical Horizon,58
Wet Wet Wet,58
Yello,57
Young Jeezy,57
Quiet Riot,57
Gary Valenciano,56
Hooverphonic,56
Rick Astley,56
Fiona Apple,56
Rage Against The Machine,55
Horrible Histories,54
Adele,54
Olly Murs,54
Z-Ro,54
You Am I,54
Wu-Tang Clan,53
Ed Sheeran,53
Whiskeytown,53
Bosson,52
Verve,51
Utada Hikaru,51
Ariana Grande,51
Peter Tosh,50
Virgin Steele,50
Queen Latifah,50
Notorious B.I.G.,50
Yeah Yeah Yeahs,50
Joy Division,49
Gloria Gaynor,49
Tiffany,49
Bob Rivers,48
Cinderella,48
Frankie Valli,48
Yolanda Adams,48
Veruca Salt,48
Bryan White,48
Selah,48
Lauryn Hill,48
Velvet Underground,48
Xzibit,47
Yo La Tengo,47
Ten Years After,47
Freestyle,46
Kyla,46
Underoath,46
Mazzy Star,46
Don Henley,46
Wyclef Jean,45
King Crimson,44
Selena Gomez,44
Rammstein,44
Creedence Clearwater Revival,43
Rem,42
Uncle Kracker,42
Les Miserables,42
Spandau Ballet,42
Unwritten Law,42
Underworld,41
Matt Monro,41
Imagine Dragons,41
Ofra Haza,41
Eagles,41
Queen Adreena,41
Frankie Laine,41
Xavier Rudd,40
Enya,40
Uncle Tupelo,40
Erik Santos,40
Fatboy Slim,40
Wiz Khalifa,40
Free,39
Don Moen,39
Unearth,39
Zoegirl,38
Kari Jobe,38
Xscape,37
Faces,37
Vybz Kartel,37
Stone Roses,37
Raffi,36
Ugly Kid Joe,36
Christina Perri,36
Out Of Eden,36
Inna,36
Quietdrive,36
OneRepublic,36
Tool,36
Vanilla Ice,35
Unseen,35
Ying Yang Twins,35
Bill Withers,35
Passenger,35
Little Mix,35
Enigma,35
Starship,34
Twenty One Pilots,33
Men At Work,33
Divine,33
Idina Menzel,33
Oliver,32
Wilson Phillips,32
Lata Mangeshkar,32
The Script,32
Annie,32
Zac Brown Band,31
Grease,31
Zeromancer,30
Zucchero,30
Will Smith,30
Pharrell Williams,30
Zao,30
Freddie King,30
The Weeknd,29
Savage Garden,29
Israel,28
Wang Chung,28
Frankie Goes To Hollywood,28
Unkle,28
Louis Jordan,27
Imperials,27
Stevie Ray Vaughan,27
Mud,26
Quasi,25
Aiza Seguerra,25
Andrea Bocelli,25
Xandria,25
Xiu Xiu,25
Wilson Pickett,24
Happy Mondays,24
Zero 7,24
Israel Houghton,24
